"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcAirTerminal/DIFFUSER;IfcAirTerminalType/DIFFUSER;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminal/GRILLE;IfcAirTerminalType/GRILLE;IFC4X3_ADD1;"4.3.1.0"
IfcKerb;IfcKerbType;IFC4X3_ADD1;"4.3.1.0"
IfcMobileTelecommunicationsAppliance;IfcMobileTelecommunicationsApplianceType;IFC4X3_ADD1;"4.3.1.0"
IfcHumidifier;IfcHumidifierType;IFC4X3_ADD1;"4.3.1.0"
IfcLaborResource;IfcLaborResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcLamp;IfcLampType;IFC4X3_ADD1;"4.3.1.0"
IfcMember;IfcMemberType;IFC4X3_ADD1;"4.3.1.0"
IfcMotorConnection;IfcMotorConnectionType;IFC4X3_ADD1;"4.3.1.0"
IfcNavigationElement;IfcNavigationElementType;IFC4X3_ADD1;"4.3.1.0"
IfcPavement;IfcPavementType;IFC4X3_ADD1;"4.3.1.0"
IfcOutlet;IfcOutletType;IFC4X3_ADD1;"4.3.1.0"
IfcProcedure;IfcProcedureType;IFC4X3_ADD1;"4.3.1.0"
IfcSpaceHeater;IfcSpaceHeaterType;IFC4X3_ADD1;"4.3.1.0"
IfcStair;IfcStairType;IFC4X3_ADD1;"4.3.1.0"
IfcVehicle;IfcVehicleType;IFC4X3_ADD1;"4.3.1.0"
IfcVibrationDamper;IfcVibrationDamperType;IFC4X3_ADD1;"4.3.1.0"
IfcWasteTerminal;IfcWasteTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcWindow;IfcWindowType;IFC4X3_ADD1;"4.3.1.0"
IfcDistributionChamberElement;IfcDistributionChamberElementType;IFC4;"4.0.2.1"
IfcDoor;IfcDoorType;IFC4;"4.0.2.1"
IfcDuctFitting;IfcDuctFittingType;IFC4;"4.0.2.1"
IfcDuctSegment;IfcDuctSegmentType;IFC4;"4.0.2.1"
IfcElectricFlowStorageDevice;IfcElectricFlowStorageDeviceType;IFC4;"4.0.2.1"
IfcEnergyConversionDevice;IfcEnergyConversionDeviceType;IFC4;"4.0.2.1"
IfcFilter;IfcFilterType;IFC4;"4.0.2.1"
IfcSolarDevice;IfcSolarDeviceType;IFC4;"4.0.2.1"
IfcSpace;IfcSpaceType;IFC4;"4.0.2.1"
IfcSpaceHeater;IfcSpaceHeaterType;IFC4;"4.0.2.1"
IfcWindow;IfcWindowType;IFC4;"4.0.2.1"
IfcSpaceHeater;IfcSpaceHeaterType;IFC4X1;"4.1.0.0"
IfcConstructionEquipmentResource;IfcConstructionEquipmentResourceType;IFC4;"4.0.2.1"
IfcConstructionMaterialResource;IfcConstructionMaterialResourceType;IFC4;"4.0.2.1"
IfcConstructionProductResource;IfcConstructionProductResourceType;IFC4;"4.0.2.1"
IfcCurtainWall;IfcCurtainWallType;IFC4;"4.0.2.1"
IfcDamper;IfcDamperType;IFC4;"4.0.2.1"
IfcAirToAirHeatRecovery;IfcAirToAirHeatRecoveryType;IFC4;"4.0.2.1"
IfcEvaporator;IfcEvaporatorType;IFC4;"4.0.2.1"
IfcFireSuppressionTerminal;IfcFireSuppressionTerminalType;IFC4;"4.0.2.1"
IfcGeographicElement;IfcGeographicElementType;IFC4;"4.0.2.1"
IfcHeatExchanger;IfcHeatExchangerType;IFC4;"4.0.2.1"
IfcHumidifier;IfcHumidifierType;IFC4;"4.0.2.1"
IfcLightFixture;IfcLightFixtureType;IFC4;"4.0.2.1"
IfcMechanicalFastener;IfcMechanicalFastenerType;IFC4;"4.0.2.1"
IfcPile;IfcPileType;IFC4;"4.0.2.1"
IfcRampFlight;IfcRampFlightType;IFC4;"4.0.2.1"
IfcReinforcingMesh;IfcReinforcingMeshType;IFC4;"4.0.2.1"
IfcSensor;IfcSensorType;IFC4;"4.0.2.1"
IfcShadingDevice;IfcShadingDeviceType;IFC4;"4.0.2.1"
IfcSpatialZone;IfcSpatialZoneType;IFC4;"4.0.2.1"
IfcStackTerminal;IfcStackTerminalType;IFC4;"4.0.2.1"
IfcStair;IfcStairType;IFC4;"4.0.2.1"
IfcAirTerminalBox;IfcAirTerminalBoxType;IFC4X1;"4.1.0.0"
IfcProcedure;IfcProcedureType;IFC4X1;"4.1.0.0"
IfcRoof;IfcRoofType;IFC4X1;"4.1.0.0"
IfcBuildingElement;IfcBuildingElementType;IFC4X1;"4.1.0.0"
IfcFlowMovingDevice;IfcFlowMovingDeviceType;IFC4X1;"4.1.0.0"
IfcFlowSegment;IfcFlowSegmentType;IFC4X1;"4.1.0.0"
IfcSpatialElement;IfcSpatialElementType;IFC4X1;"4.1.0.0"
IfcFlowMeter;IfcFlowMeterType;IFC4X1;"4.1.0.0"
IfcSwitchingDevice;IfcSwitchingDeviceType;IFC4X1;"4.1.0.0"
IfcTank;IfcTankType;IFC4X1;"4.1.0.0"
IfcCurtainWall;IfcCurtainWallType;IFC4X1;"4.1.0.0"
IfcFlowController;IfcFlowControllerType;IFC4X1;"4.1.0.0"
IfcBoiler;IfcBoilerType;IFC4X1;"4.1.0.0"
IfcSubContractResource;IfcSubContractResourceType;IFC4X1;"4.1.0.0"
IfcBuildingElementPart;IfcBuildingElementPartType;IFC4X1;"4.1.0.0"
IfcBuildingElementProxy;IfcBuildingElementProxyType;IFC4X1;"4.1.0.0"
IfcBurner;IfcBurnerType;IFC4X1;"4.1.0.0"
IfcCableCarrierFitting;IfcCableCarrierFittingType;IFC4X1;"4.1.0.0"
IfcCableCarrierSegment;IfcCableCarrierSegmentType;IFC4X1;"4.1.0.0"
IfcCableFitting;IfcCableFittingType;IFC4X1;"4.1.0.0"
IfcCableSegment;IfcCableSegmentType;IFC4X1;"4.1.0.0"
IfcCommunicationsAppliance;IfcCommunicationsApplianceType;IFC4X1;"4.1.0.0"
IfcCompressor;IfcCompressorType;IFC4X1;"4.1.0.0"
IfcCondenser;IfcCondenserType;IFC4X1;"4.1.0.0"
IfcConstructionMaterialResource;IfcConstructionMaterialResourceType;IFC4X1;"4.1.0.0"
